x,y,c
7.177663558200555904e+00,1.483774804085345167e+01,0
7.113804134329187789e+00,1.512546406577770242e+01,0
6.964527772292903762e+00,1.501813822369169849e+01,0
6.955275463807907954e+00,1.531027804142378201e+01,0
7.263891449448642845e+00,1.493529896769199006e+01,0
6.815686326392262018e+00,1.471279927083305417e+01,0
6.975708113763912976e+00,1.507974842829249162e+01,0
6.959159636754165490e+00,1.480248238706816366e+01,0
7.032241480989396720e+00,1.515443793273496631e+01,0
6.894771845228275353e+00,1.470468967993356202e+01,0
3.333733956428328593e+00,1.374059386799866367e+01,1
3.521112207399675231e+00,1.255891126485269282e+01,1
